mass,energy,peak,ds
1.74e+30,3e+43,0.14686494540160328,13.55
1.74e+30,3.5e+43,0.1535026276389111,13.25
1.74e+30,4e+43,0.1594030653285615,12.95
1.74e+30,4.5e+43,0.1647254513850124,12.650000000000004
1.74e+30,5e+43,0.16957791982399634,12.550000000000002
1.74e+30,5.500000000000001e+43,0.1740415068948898,12.350000000000003
1.74e+30,6.000000000000001e+43,0.17817688822771485,12.15
1.74e+30,6.500000000000002e+43,0.18203243998353338,11.950000000000003
1.74e+30,7.000000000000002e+43,0.1856444284869544,11.850000000000001
1.74e+30,7.500000000000003e+43,0.18904337645604635,11.750000000000002
1.74e+30,8.000000000000003e+43,0.19225762761926246,11.650000000000002
1.74e+30,8.500000000000004e+43,0.1953028633781788,11.450000000000001
1.74e+30,9.000000000000004e+43,0.19819692001202674,11.450000000000001
1.74e+30,9.500000000000004e+43,0.20096054557599144,11.350000000000003
1.76e+30,1e+43,0.10389408040376344,16.649999999999995
1.76e+30,1.5e+43,0.11810018655481576,15.45
1.76e+30,2.0000000000000003e+43,0.12897018793178025,14.650000000000002
1.76e+30,2.5e+43,0.1378566924918336,14.150000000000002
1.76e+30,3e+43,0.1454139024763663,13.649999999999999
1.76e+30,3.5e+43,0.1520097686176935,13.350000000000001
1.76e+30,4e+43,0.15787352551286013,13.05
1.76e+30,4.5e+43,0.16316409760395406,12.750000000000004
1.76e+30,5e+43,0.16798982520761765,12.550000000000002
1.76e+30,5.500000000000001e+43,0.17242713736807613,12.350000000000001
1.76e+30,6.000000000000001e+43,0.17653932055929925,12.150000000000002
1.76e+30,6.500000000000002e+43,0.18037443297183986,12.050000000000002
1.76e+30,7.000000000000002e+43,0.18396853843635405,11.950000000000001
1.76e+30,7.500000000000003e+43,0.18734887360264785,11.850000000000003
1.76e+30,8.000000000000003e+43,0.19054724359109615,11.650000000000004
1.76e+30,8.500000000000004e+43,0.19357491527139276,11.550000000000004
1.76e+30,9.000000000000004e+43,0.19645901442998442,11.55
1.76e+30,9.500000000000004e+43,0.19920782183569613,11.350000000000003
1.78e+30,1e+43,0.10276501316813445,16.749999999999996
1.78e+30,1.5e+43,0.11686271531297673,15.55
1.78e+30,2.0000000000000003e+43,0.12765519349533275,14.750000000000007
1.78e+30,2.5e+43,0.13648150311400728,14.25
1.78e+30,3e+43,0.14398820830188994,13.75
1.78e+30,3.5e+43,0.1505426034577766,13.350000000000001
1.78e+30,4e+43,0.15637228554343363,13.150000000000002
1.78e+30,4.5e+43,0.16163048576047204,12.950000000000003
1.78e+30,5e+43,0.16642804077640547,12.650000000000002
1.78e+30,5.500000000000001e+43,0.1708392050524663,12.450000000000005
1.78e+30,6.000000000000001e+43,0.1749293093541013,12.350000000000001
1.78e+30,6.500000000000002e+43,0.1787430168741239,12.050000000000002
1.78e+30,7.000000000000002e+43,0.1823192662000651,11.950000000000003
1.78e+30,7.500000000000003e+43,0.1856841469426164,11.850000000000001
1.78e+30,8.000000000000003e+43,0.18886352001980572,11.750000000000002
1.78e+30,8.500000000000004e+43,0.1918786554846225,11.650000000000002
1.78e+30,9.000000000000004e+43,0.19474771920526074,11.550000000000002
1.78e+30,9.500000000000004e+43,0.1974817106379918,11.450000000000003
1.8e+30,1e+43,0.10165736180180442,16.85
1.8e+30,1.5e+43,0.1156479934199999,15.650000000000002
1.8e+30,2.0000000000000003e+43,0.12636382135685748,14.849999999999994
1.8e+30,2.5e+43,0.13513054253650433,14.25
1.8e+30,3e+43,0.14258791176205815,13.850000000000001
1.8e+30,3.5e+43,0.14910043868301134,13.450000000000003
1.8e+30,4e+43,0.1548962973341054,13.150000000000002
